Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-45-SOM,2024-10-15T03:24:14.000Z,,,,,Sibiu,Romania
SB-45-SOM,2024-10-15T03:24:16.000Z,OWQY,120L,Strada Avram Iancu,12 A,Sibiu,Romania
SB-45-SOM,2024-10-15T03:25:27.000Z,OYQE,120L,Strada Avram Iancu,13 A,Sibiu,Romania
SB-45-SOM,2024-10-15T03:25:30.000Z,OYZ4,120L,Strada Avram Iancu,13 A,Sibiu,Romania
SB-45-SOM,2024-10-15T03:25:35.000Z,6B5I,120L,Strada Avram Iancu,13,Sibiu,Romania
SB-45-SOM,2024-10-15T03:26:26.000Z,Y6KM,120L,Strada Avram Iancu,10,Sibiu,Romania
SB-45-SOM,2024-10-15T03:27:24.000Z,PAED,120L,Strada Avram Iancu,9 B,Sibiu,Romania
SB-45-SOM,2024-10-15T03:27:27.000Z,PAFF,120L,Strada Avram Iancu,9 A,Sibiu,Romania
SB-45-SOM,2024-10-15T03:27:53.000Z,PABD,120L,Strada Avram Iancu,9 C,Sibiu,Romania
SB-45-SOM,2024-10-15T03:27:56.000Z,6VNM,120L,Strada Avram Iancu,9,Sibiu,Romania
SB-45-SOM,2024-10-15T03:28:44.000Z,73FS,120L,Strada Avram Iancu,7,Sibiu,Romania
SB-45-SOM,2024-10-15T03:28:57.000Z,FQWK,120L,Strada Avram Iancu,8,Sibiu,Romania
SB-45-SOM,2024-10-15T03:29:02.000Z,PBTE,120L,Strada Avram Iancu,8,Sibiu,Romania
SB-45-SOM,2024-10-15T03:29:42.000Z,DNFC,120L,Strada Avram Iancu,5,Sibiu,Romania
SB-45-SOM,2024-10-15T03:29:54.000Z,632O,120L,Strada Avram Iancu,5,Sibiu,Romania
SB-45-SOM,2024-10-15T03:29:58.000Z,6EFC,120L,Strada Avram Iancu,6,Sibiu,Romania
SB-45-SOM,2024-10-15T03:31:07.000Z,O7HX,120L,Piața Mare,(),Sibiu,Romania
SB-45-SOM,2024-10-15T03:31:11.000Z,GFIUQ4,120L,Strada Avram Iancu,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:33:37.000Z,GSIDPB,240L,Piața Mare,16,Sibiu,Romania
SB-45-SOM,2024-10-15T03:34:28.000Z,EF55AH,1.100L,Piața Mare,16,Sibiu,Romania
SB-45-SOM,2024-10-15T03:35:34.000Z,F4OF6F,240L,Piața Mare,14,Sibiu,Romania
SB-45-SOM,2024-10-15T03:35:37.000Z,FHKIOX,240L,Piața Mare,14,Sibiu,Romania
SB-45-SOM,2024-10-15T03:38:12.000Z,ALEZ,240L,Strada G-ral Gheorghe Magheru,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:38:42.000Z,OREE,120L,Strada G-ral Gheorghe Magheru,4,Sibiu,Romania
SB-45-SOM,2024-10-15T03:39:16.000Z,CKBYOO,120L,Strada G-ral Gheorghe Magheru,2,Sibiu,Romania
SB-45-SOM,2024-10-15T03:39:19.000Z,W4NG,120L,Piața Mare,10,Sibiu,Romania
SB-45-SOM,2024-10-15T03:40:31.000Z,R7EWOS,240L,Piata mare,10,Sibiu,Romania
SB-45-SOM,2024-10-15T03:41:39.000Z,GWMTJB,240L,piața mare,11,Sibiu,Romania
SB-45-SOM,2024-10-15T03:42:31.000Z,JEZC,120L,Piața Mare,9 C,Sibiu,Romania
SB-45-SOM,2024-10-15T03:47:40.000Z,UUJUCY,1.100L,Strada Arhivelor,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:48:20.000Z,YHGA,1.100L,Strada Arhivelor,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:51:11.000Z,D4XT,240L,Strada Nicolae Bălcescu,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:51:17.000Z,2GHMIL,240L,Strada Nicolae Bălcescu,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:53:08.000Z,XMDUYK,120L,Strada Nicolae Bălcescu,1,Sibiu,Romania
SB-45-SOM,2024-10-15T03:53:11.000Z,CPLKJX,120L,Strada Nicolae Bălcescu,3,Sibiu,Romania
SB-45-SOM,2024-10-15T03:54:07.000Z,Z65N,120L,Strada Nicolae Bălcescu,5,Sibiu,Romania
SB-45-SOM,2024-10-15T03:54:58.000Z,4UFQ,120L,Strada Nicolae Bălcescu,7,Sibiu,Romania
SB-45-SOM,2024-10-15T03:55:43.000Z,J7WC7W,240L,Strada Nicolae Bălcescu,9,Sibiu,Romania
SB-45-SOM,2024-10-15T04:01:18.000Z,AFXGZC,1.100L,Strada Nicolae Bălcescu,6,Sibiu,Romania
SB-45-SOM,2024-10-15T04:03:15.000Z,5YJ5US,120L,Strada Alexandru Papiu Ilarian,2,Sibiu,Romania
SB-45-SOM,2024-10-15T04:03:17.000Z,7Z5OJV,120L,Strada Alexandru Papiu Ilarian,2,Sibiu,Romania
SB-45-SOM,2024-10-15T04:03:49.000Z,3BSO,120L,Strada Nicolae Bălcescu,15,Sibiu,Romania
SB-45-SOM,2024-10-15T04:05:43.000Z,JOYK,240L,Strada Nicolae Bălcescu,14,Sibiu,Romania
SB-45-SOM,2024-10-15T04:05:48.000Z,SRWL,120L,Strada Nicolae Bălcescu,14,Sibiu,Romania
SB-45-SOM,2024-10-15T04:06:35.000Z,GP43,240L,Strada Nicolae Bălcescu,17,Sibiu,Romania
SB-45-SOM,2024-10-15T04:08:22.000Z,Q7BX,120L,Strada Nicolae Bălcescu,20,Sibiu,Romania
SB-45-SOM,2024-10-15T04:08:26.000Z,LLYONC,240L,Strada Nicolae Bălcescu,20,Sibiu,Romania
SB-45-SOM,2024-10-15T04:11:05.000Z,,,,,Sibiu,Romania
SB-45-SOM,2024-10-15T04:12:51.000Z,4JT6V5,240L,Strada Nicolae Bălcescu,33,Sibiu,Romania
SB-45-SOM,2024-10-15T04:13:18.000Z,ICJFIE,240L,Strada Nicolae Bălcescu,28,Sibiu,Romania
SB-45-SOM,2024-10-15T04:13:56.000Z,,,,,Sibiu,Romania
SB-45-SOM,2024-10-15T04:15:36.000Z,AE5BTG,240L,Strada Nicolae Bălcescu,39,Sibiu,Romania
SB-45-SOM,2024-10-15T04:17:49.000Z,HZCYJJ,240L,Strada Nicolae Bălcescu,51,Sibiu,Romania
SB-45-SOM,2024-10-15T04:19:25.000Z,M2F7,120L,Strada Nicolae Bălcescu,47 C,Sibiu,Romania
SB-45-SOM,2024-10-15T04:23:44.000Z,M3VLEF,240L,Piața Unirii,10,Sibiu,Romania
SB-45-SOM,2024-10-15T04:23:47.000Z,ZQZCLD,240L,Piața Unirii,10,Sibiu,Romania
SB-45-SOM,2024-10-15T04:24:11.000Z,EWSTO2,240L,Strada Andrei Șaguna,4,Sibiu,Romania
SB-45-SOM,2024-10-15T04:24:26.000Z,STNZIZ,240L,Strada Andrei Șaguna,4,Sibiu,Romania
SB-45-SOM,2024-10-15T04:25:50.000Z,ZW62PU,240L,Strada Andrei Șaguna,4,Sibiu,Romania
SB-45-SOM,2024-10-15T04:28:38.000Z,V4LT5O,120L,Strada Andrei Șaguna,5,Sibiu,Romania
SB-45-SOM,2024-10-15T04:28:41.000Z,TUOP4X,120L,Strada Andrei Șaguna,5,Sibiu,Romania
SB-45-SOM,2024-10-15T04:29:45.000Z,X2LIGZ,240L,Strada Andrei Șaguna,7,Sibiu,Romania
