Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-30-SOM,2024-10-15T04:11:03.000Z,FJIP,120L,Strada Ștefan cel Mare,31 B,Sibiu,Romania
SB-30-SOM,2024-10-15T04:12:08.000Z,755E,120L,Strada Ștefan cel Mare,35,Sibiu,Romania
SB-30-SOM,2024-10-15T04:14:15.000Z,3FHA,120L,Strasa Fratii Grahi,6,Sibiu,Romania
SB-30-SOM,2024-10-15T04:14:19.000Z,YCYR,120L,Strada Ștefan cel Mare,41,Sibiu,Romania
SB-30-SOM,2024-10-15T04:15:28.000Z,SVPU,120L,Strada Ștefan cel Mare,20,Sibiu,Romania
SB-30-SOM,2024-10-15T04:16:44.000Z,7SBZEI,120L,,,Sibiu,Romania
SB-30-SOM,2024-10-15T04:17:19.000Z,FHT5,120L,Strada Ștefan cel Mare,43,Sibiu,Romania
SB-30-SOM,2024-10-15T04:17:25.000Z,NT3JGZ,240L,Strada Ștefan cel Mare,28,Sibiu,Romania
SB-30-SOM,2024-10-15T04:18:25.000Z,V6CE,120L,Strada Ștefan cel Mare,45,Sibiu,Romania
SB-30-SOM,2024-10-15T04:19:17.000Z,GG4D,120L,Strada Ștefan cel Mare,38,Sibiu,Romania
SB-30-SOM,2024-10-15T04:19:53.000Z,FKVO,120L,Strada Ștefan cel Mare,45 B,Sibiu,Romania
SB-30-SOM,2024-10-15T04:21:21.000Z,FI2S,120L,Strada Ștefan cel Mare,48,Sibiu,Romania
SB-30-SOM,2024-10-15T04:32:45.000Z,3QIZ,120L,Strada Ștefan cel Mare,56,Sibiu,Romania
SB-30-SOM,2024-10-15T04:33:43.000Z,C5IKLT,120L,Strada Ștefan cel Mare,60,Sibiu,Romania
SB-30-SOM,2024-10-15T04:34:34.000Z,YWVT,120L,Strada Victor Hugo,5,Sibiu,Romania
SB-30-SOM,2024-10-15T04:35:35.000Z,FDHV,240L,Strada Victor Hugo,9,Sibiu,Romania
SB-30-SOM,2024-10-15T04:40:28.000Z,SFGE,120L,Strada Ștefan cel Mare,74,Sibiu,Romania
SB-30-SOM,2024-10-15T04:41:17.000Z,KPX2,120L,Strada Ștefan cel Mare,80,Sibiu,Romania
SB-30-SOM,2024-10-15T04:41:24.000Z,73OH,120L,Strada Ștefan cel Mare,82,Sibiu,Romania
SB-30-SOM,2024-10-15T04:42:16.000Z,PFO5,120L,Strada Ștefan cel Mare,86,Sibiu,Romania
SB-30-SOM,2024-10-15T04:45:32.000Z,NLVP,120L,Strada Ștefan cel Mare,112,Sibiu,Romania
SB-30-SOM,2024-10-15T04:45:35.000Z,6GCFNF,120L,Strada Ștefan cel Mare,112,Sibiu,Romania
SB-30-SOM,2024-10-15T04:46:57.000Z,SREA,120L,Strada Ștefan cel Mare,120,Sibiu,Romania
SB-30-SOM,2024-10-15T04:48:06.000Z,EXM6,120L,,,Sibiu,Romania
SB-30-SOM,2024-10-15T04:55:25.000Z,FFEGF2,120L,Strada Triajului,16,Sibiu,Romania
SB-30-SOM,2024-10-15T04:57:55.000Z,GA42ZD,240L,Strada Ștefan cel Mare,193,Sibiu,Romania
SB-30-SOM,2024-10-15T05:05:05.000Z,CD52,120L,Strada Ștefan cel Mare,"secprol, Nr. (), Nedefinită, Sibiu",Sibiu,Romania
SB-30-SOM,2024-10-15T05:05:46.000Z,CCR5,120L,Strada Ștefan cel Mare,"secprol, Nr. (), Nedefinită, Sibiu",Sibiu,Romania
SB-30-SOM,2024-10-15T05:05:51.000Z,,,,,Sibiu,Romania
SB-30-SOM,2024-10-15T05:06:03.000Z,,,,,Sibiu,Romania
SB-30-SOM,2024-10-15T05:07:16.000Z,QFJ3V5,120L,Strada Ștefan cel Mare,191,Sibiu,Romania
SB-30-SOM,2024-10-15T05:08:11.000Z,JHNZBA,120L,Strada Ludos,5,Sibiu,Romania
SB-30-SOM,2024-10-15T05:11:15.000Z,VNTZOL,1.100L,Strada Ștefan cel Mare,152,Sibiu,Romania
SB-30-SOM,2024-10-15T05:13:12.000Z,C5ZI,120L,cofamet,,Sibiu,Romania
SB-30-SOM,2024-10-15T05:13:58.000Z,C6B6,120L,cofamet,,Sibiu,Romania
SB-30-SOM,2024-10-15T05:18:28.000Z,VJAJJ3,1.100L,Strada Ștefan cel Mare,150,Sibiu,Romania
SB-30-SOM,2024-10-15T05:20:44.000Z,BLANMG,120L,Strada Ștefan cel Mare,193,Sibiu,Romania
SB-30-SOM,2024-10-15T05:22:22.000Z,GPB5EF,240L,Strada Ștefan cel Mare,193,Sibiu,Romania
SB-30-SOM,2024-10-15T05:25:44.000Z,GEUSVG,120L,Strada Rampa Ștefan cel Mare,152,Sibiu,Romania
SB-30-SOM,2024-10-15T05:26:52.000Z,BZ4W,120L,totalaser,,Sibiu,Romania
SB-30-SOM,2024-10-15T05:30:29.000Z,JQ7I,120L,Strada Ștefan cel Mare,199,Sibiu,Romania
SB-30-SOM,2024-10-15T05:31:22.000Z,AETM2M,120L,Strada Ștefan cel Mare,152,Sibiu,Romania
SB-30-SOM,2024-10-15T05:33:09.000Z,TKPOGB,120L,Strada Ștefan cel Mare,152,Sibiu,Romania
SB-30-SOM,2024-10-15T05:45:59.000Z,X5LVA3,120L,Strada Ștefan cel Mare,169,Sibiu,Romania
SB-30-SOM,2024-10-15T05:54:11.000Z,KZ5MXH,120L,Strada Ștefan cel Mare,193B,Sibiu,Romania
SB-30-SOM,2024-10-15T05:58:02.000Z,BM3X,120L,solvosib,,Sibiu,Romania
SB-30-SOM,2024-10-15T06:25:15.000Z,BUZ5,120L,darel,,Sibiu,Romania
SB-30-SOM,2024-10-15T06:32:13.000Z,BUF4AK,120L,Strada Ștefan cel Mare,152,Sibiu,Romania
SB-30-SOM,2024-10-15T06:33:23.000Z,GWASFK,120L,Strada Ștefan cel Mare,152-154,Sibiu,Romania
SB-30-SOM,2024-10-15T06:36:05.000Z,VMOKD2,1.100L,Strada Ștefan cel Mare,152,Sibiu,Romania
